Plot,Herbivore,Paritoid,Interaction_freq,Ab_total_par
I3,Pachycnemia hippocastanaria,Meteorus versicolor,1,3.03
I3,Anarta myrtillis,Meteorus versicolor,1,3.03
I3,Noctuidae sp1,Meteorus versicolor,1,3.03
I3,Anarta myrtillis,Meteorus versicolor,0.01,3.03
I3,Ematurga atomaria,Meteorus versicolor,0.01,3.03
I3,Noctuidae sp1,Meteorus versicolor,0.01,3.03
I3,Anarta myrtillis,Meteorus pulchricornis,1,1.01
I3,Noctuidae sp1,Meteorus pulchricornis,0.01,1.01
I3,Pachycnemia hippocastanaria,Meteorus colon,1,2.01
I3,Anarta myrtillis,Meteorus colon,1,2.01
I3,Noctuidae sp1,Meteorus colon,0.01,2.01
I3,Anarta myrtillis,Campylocheta inepta,1,2.03
I3,Noctuidae sp1,Campylocheta inepta,1,2.03
I3,Ematurga atomaria,Campylocheta inepta,0.01,2.03
I3,Eupithecia nanata,Campylocheta inepta,0.01,2.03
I3,Neofaculta ericetella,Campylocheta inepta,0.01,2.03
I3,Lochmaea suturalis,Asecodes mento,197,197
C2,Lochmaea suturalis,Asecodes mento,395,395
C2,Eupithecia nanata,Cotesia errator,1,1
C2,Anarta myrtillis,Hyposoter didymator,0.01,2.02
C2,Lycophotia porphyrea,Hyposoter didymator,0.01,2.02
C2,Noctuidae sp1,Hyposoter didymator,2,2.02
C2,Eupithecia nanata,Campylocheta inepta,0.01,3.02
C2,Noctuidae sp1,Campylocheta inepta,0.01,3.02
C2,Anarta myrtillis,Campylocheta inepta,1,3.02
C2,Ematurga atomaria,Campylocheta inepta,1,3.02
C2,Neofaculta ericetella,Campylocheta inepta,1,3.02
C2,Gymnoscelis rufifasciata,Diadegma armillata,0.01,1.03
C2,Neofaculta ericetella,Diadegma armillata,0.01,1.03
C2,Noctuidae sp1,Diadegma armillata,0.01,1.03
C2,Aristotelia ericinella,Diadegma armillata,1,1.03
C2,Anarta myrtillis,Meteorus colon,0.01,1.02
C2,Noctuidae sp1,Meteorus colon,0.01,1.02
C2,Pachycnemia hippocastanaria,Meteorus colon,1,1.02
I6,Lochmaea suturalis,Asecodes mento,212,212
I6,Neofaculta ericetella,Campylocheta inepta,1,1.03
I6,Ematurga atomaria,Campylocheta inepta,1,1.03
I6,Noctuidae sp1,Campylocheta inepta,0.01,1.03
I6,Anarta myrtillis,Campylocheta inepta,0.01,1.03
I6,Eupithecia nanata,Campylocheta inepta,0.01,1.03
I6,Gymnoscelis rufifasciata,Diadegma armillata,3,3.03
I6,Noctuidae sp1,Diadegma armillata,0.01,3.03
I6,Aristotelia ericinella,Diadegma armillata,0.01,3.03
I6,Neofaculta ericetella,Diadegma armillata,0.01,3.03
