Plot,Plant,Herbivore,Interaction_freq,Ab_total_herb
I3,Pteridium aquilinum,Symphita sp,15,15.02
I3,Ulex minor,Symphita sp,0.01,15.02
I3,Calluna vulgaris,Symphita sp,0.01,15.02
I3,Erica tetralix,Pachycnemia hippocastanaria,1,8
I3,Erica cinerae,Pachycnemia hippocastanaria,1,8
I3,Calluna vulgaris,Pachycnemia hippocastanaria,6,8
I3,Calluna vulgaris,Noctuidae sp1,4,4.01
I3,Erica cinerae,Noctuidae sp1,0.01,4.01
I3,Calluna vulgaris,Neofaculta ericetella,5,5.01
I3,Erica cinerae,Neofaculta ericetella,0.01,5.01
I3,Calluna vulgaris,Lycophotia porphyrea,3,3.01
I3,Erica cinerae,Lycophotia porphyrea,0.01,3.01
I3,Erica tetralix,Lochmaea suturalis,1,248
I3,Calluna vulgaris,Lochmaea suturalis,242,248
I3,Erica cinerae,Lochmaea suturalis,5,248
I3,Gaultheria shallon,indsp1 13,1,10
I3,Gaultheria shallon,Gymnoscelis rufifasciata,1,9.03
I3,Calluna vulgaris,Gymnoscelis rufifasciata,8,9.03
I3,Erica cinerae,Gymnoscelis rufifasciata,0.01,9.03
I3,Erica tetralix,Gymnoscelis rufifasciata,0.01,9.03
I3,Pteridium aquilinum,Gymnoscelis rufifasciata,0.01,9.03
I3,Gaultheria shallon,Geometridae sp2,2,2
I3,Rhododendron ponticum,Geometridae sp1,1,1
I3,Calluna vulgaris,Eupithecia nanata,1,1.01
I3,Erica cinerae,Eupithecia nanata,0.01,1.01
I3,Calluna vulgaris,Eupithecia centaureata cf.,3,3.01
I3,Calluna vulgaris,Ematurga atomaria,2,2.04
I3,Erica tetralix,Ematurga atomaria,0.01,2.04
I3,Erica cinerae,Ematurga atomaria,0.01,2.04
I3,Gaultheria shallon,Ematurga atomaria,0.01,2.04
I3,Betula sp.,Ematurga atomaria,0.01,2.04
I3,Calluna vulgaris,Aristotelia ericinella,1,1.01
I3,Erica cinerae,Aristotelia ericinella,0.01,1.01
I3,Calluna vulgaris,Anarta myrtillis,10,10.01
I3,Erica cinerae,Anarta myrtillis,0.01,10.01
I6,Calluna vulgaris,Anarta myrtillis,7,8
I6,Erica cinerae,Anarta myrtillis,1,8
I6,Pteridium aquilinum,Arctia caja,1,1.01
I6,Calluna vulgaris,Arctia caja,0.01,1.01
I6,Calluna vulgaris,Aristotelia ericinella,1,1.01
